date,trend,resale,changeResale,value
2007-01,527198,,,68
2007-04,651680,,,61
2007-07,750250,,,96
2007-10,707683,,,150
2008-01,596656,,,91
2008-04,527616,,,79
2008-07,606866,,,67
2008-10,597818,,,43
2009-01,584954,,,146
2009-04,544763,,,78
2009-07,625000,,,103
2009-10,577655,,,98
2010-01,564144,,,76
2010-04,589395,,,90
2010-07,656771,,,69
2010-10,627500,,,68
2011-01,587792,,,44
2011-04,566082,,,68
2011-07,610000,,,75
2011-10,533336,,,60
2012-01,640000,450000,,48
2012-04,610000,500000,,80
2012-07,683705,550500,,62
2012-10,606929,597025,,90
2013-01,690000,568750,0.264,36
2013-04,782500,782500,0.565,74
2013-07,670000,745000,0.353,79
2013-10,789526,749000,0.255,88
2014-01,660931,791500,0.392,74
2014-04,750000,738000,-0.057,55
2014-07,844000,850000,0.141,62
2014-10,845000,804000,0.073,46
2015-01,839000,835000,0.055,39
2015-04,770000,958500,0.299,55
2015-07,805000,882500,0.038,57
2015-10,852500,867000,0.078,54
2016-01,875000,1020000,0.222,57
2016-04,957500,920000,-0.04,46
2016-07,940000,1195000,0.354,81
2016-10,880500,875000,0.009,54
2017-01,1058000,822500,-0.194,30
2017-04,977645,1075000,0.168,52
2017-07,896059,1100000,-0.079,96
2017-10,908121,915000,0.046,84
2018-01,816234,1075000,0.307,114
2018-04,947500,947500,-0.119,64
2018-07,826000,875000,-0.205,58
2018-10,839000,898750,-0.018,63
2019-01,1012500,975000,-0.093,60
2019-04,901709,892500,-0.058,52
2019-07,907246,1060000,0.211,110
2019-10,980385,840000,-0.065,142
2020-01,860000,,-0.138,73
2020-04,853764,901500,0.01,76
2020-07,867756,1220000,0.151,80
2020-10,958000,1032500,0.229,75
2021-01,955000,844750,0.006,125
2021-04,967238,1040000,0.154,255
2021-07,1064371,955000,-0.217,246
2021-10,1168062,815000,-0.211,128
2022-01,1175000,900000,0.065,125
2022-04,1070562,932000,-0.104,112