yyyymm,trend,resale,changeResale,count
2007-01,549000,595000,,14859
2007-04,575000,653875,,15771
2007-07,565000,630000,,15129
2007-10,534918,525000,,13028
2008-01,560000,539500,-0.093,11623
2008-04,548439,592500,-0.094,12898
2008-07,525000,564000,-0.105,13921
2008-10,475000,452000,-0.139,10960
2009-01,442500,423450,-0.215,7363
2009-04,430000,470000,-0.207,8609
2009-07,450000,495000,-0.122,11633
2009-10,439259,474000,0.049,12650
2010-01,450000,498405,0.177,10514
2010-04,439000,505000,0.074,13520
2010-07,471159,549000,0.109,10908
2010-10,450327,510000,0.076,10324
2011-01,445000,490000,-0.017,9885
2011-04,465000,550000,0.089,11423
2011-07,485000,560000,0.02,10784
2011-10,438022,490000,-0.039,9560
2012-01,440000,470000,-0.041,9689
2012-04,470000,575000,0.045,11452
2012-07,495652,575865,0.028,12014
2012-10,490381,575000,0.173,11620
2013-01,450000,500000,0.064,10267
2013-04,499994,610000,0.061,13214
2013-07,509150,619000,0.075,14861
2013-10,484000,545500,-0.051,13914
2014-01,495000,560000,0.12,11684
2014-04,505000,600000,-0.016,12690
2014-07,520000,625000,0.01,14280
2014-10,521000,565000,0.036,13285
2015-01,527500,565000,0.009,11415
2015-04,543700,625500,0.042,13075
2015-07,559000,630000,0.008,14957
2015-10,550000,567500,0.004,13694
2016-01,565000,561000,-0.007,11350
2016-04,575000,615000,-0.017,12951
2016-07,585000,624000,-0.01,14089
2016-10,585000,590000,0.04,12865
2017-01,600000,590000,0.052,12840
2017-04,634500,660000,0.073,13979
2017-07,645000,650000,0.042,14447
2017-10,620000,614250,0.041,13253
2018-01,631657,600000,0.017,11726
2018-04,640000,620000,-0.061,13094
2018-07,650000,657000,0.011,13104
2018-10,630000,615000,0.001,12260
2019-01,640000,590000,-0.017,10381
2019-04,695000,650000,0.048,12479
2019-07,651680,620000,-0.056,12039
2019-10,670000,615500,0.001,11970
2020-01,675000,635000,0.076,10714
2020-04,678000,645000,-0.008,6745
2020-07,655000,610000,-0.016,7572
2020-10,699000,660000,0.072,11455
2021-01,720000,665000,0.047,11961
2021-04,765000,733750,0.138,15062
2021-07,771000,740000,0.213,16378
2021-10,775000,707500,0.072,15070
2022-01,792000,702750,0.057,13734
2022-04,800000,730000,-0.005,11620