date,trend,resale,changeResale,count
2007-01,1972565,1762500,,88
2007-04,2406888,2347562,,118
2007-07,2222346,2350000,,68
2007-10,2080000,1855500,,52
2008-01,1642500,1775000,0.007,44
2008-04,2030000,2137500,-0.089,62
2008-07,1257500,1850000,-0.213,82
2008-10,1525000,,-0.003,19
2009-01,999000,,0.042,15
2009-04,2357815,1375000,-0.357,54
2009-07,1450000,1392000,-0.248,43
2009-10,1915000,955000,-0.484,54
2010-01,1767500,1785000,-0.035,66
2010-04,2018250,1800000,0.309,68
2010-07,2125596,1950000,0.401,60
2010-10,1825000,1715000,0.796,45
2011-01,1950000,1947500,0.091,55
2011-04,1997500,1675000,-0.069,64
2011-07,1620000,1547500,-0.206,61
2011-10,1825000,2080000,0.213,42
2012-01,1950000,1950000,0.001,49
2012-04,1912500,1900000,0.134,58
2012-07,2350000,2325000,0.502,45
2012-10,2102243,2575000,0.238,86
2013-01,2925000,2083333,0.068,53
2013-04,2500000,2435000,0.282,71
2013-07,2175000,2450000,0.054,81
2013-10,2352000,2352000,-0.087,59
2014-01,2075000,3115000,0.495,49
2014-04,3050000,3100000,0.273,52
2014-07,2626000,3050000,0.245,72
2014-10,1975000,1850000,-0.213,45
2015-01,2385000,2450000,-0.213,47
2015-04,2913717,3115000,0.005,59
2015-07,2851006,2420000,-0.207,54
2015-10,2900000,2975000,0.608,45
2016-01,3003446,2560000,0.045,68
2016-04,2547152,2500000,-0.197,70
2016-07,2865000,2725000,0.126,86
2016-10,2443800,2247500,-0.245,47
2017-01,2529000,2125000,-0.17,83
2017-04,2490000,2275000,-0.09,77
2017-07,2462265,2425000,-0.11,77
2017-10,3000000,2600000,0.157,41
2018-01,2875000,2456000,0.156,53
2018-04,1731768,2195000,-0.035,62
2018-07,2600000,2662500,0.098,65
2018-10,2277500,2361250,-0.092,46
2019-01,2794456,2662500,0.084,42
2019-04,2682500,2237500,0.019,120
2019-07,2078750,2200000,-0.174,54
2019-10,2587500,2730000,0.156,66
2020-01,2345987,3175000,0.192,70
2020-04,2360500,2310000,0.032,38
2020-07,2596537,3300000,0.5,33
2020-10,1865625,2050000,-0.249,59
2021-01,2906012,3017500,-0.05,67
2021-04,1900000,2556500,0.107,200
2021-07,2159000,2250000,-0.318,155
2021-10,2350000,2440000,0.19,121
2022-01,3049500,3650000,0.21,80
2022-04,2686225,3031250,0.186,84